"","ReadsCount","Description","TaxonID","Superkingdom","Phylum","Class","Order","Family","Genus","Species"
"Stenotrophomonas maltophilia","5224","Stenotrophomonas maltophilia R551-3, complete genome"," 391008","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas maltophilia"
"Escherichia coli","3867","Escherichia coli str. K-12 substr. MG1655, complete genome"," 511145","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli"
"Pseudomonas fluorescens","2993","Pseudomonas fluorescens SBW25 complete genome"," 216595","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas fluorescens"
"Pseudomonas azotoformans","2155","Pseudomonas azotoformans strain S4, complete genome","  47878","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas azotoformans"
"Methylobacterium populi","1480","Methylobacterium populi BJ001, complete genome"," 441620","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","Methylobacterium populi"
"Methylobacterium extorquens","1293","Methylobacterium extorquens PA1, complete genome"," 419610","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","Methylobacterium extorquens"
"Sphingomonas koreensis","1266","Sphingomonas koreensis strain ABOJV chromosome, complete genome","  93064","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas koreensis"
"Cutibacterium acnes","780","Propionibacterium acnes KPA171202, complete genome"," 267747","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium acnes"
"Pseudomonas sp. TKP","748","Pseudomonas sp. TKP, complete genome","1415630","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. TKP"
"Staphylococcus aureus","581","Staphylococcus aureus RF122 complete genome"," 273036","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus"
"Enterococcus faecium","430","Enterococcus faecium DO, complete genome"," 333849","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecium"
"Serratia marcescens","370","Serratia marcescens WW4, complete genome"," 435998","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia marcescens"
"Alternaria solani","362","Alternaria solani isolate NL03003 chromosome 1, complete sequence","  48100","Eukaryota","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria solani"
"Pseudomonas putida","356","Pseudomonas putida KT2440 complete genome"," 160488","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas putida"
"Pseudomonas sp. NC02","345","Pseudomonas sp. NC02 chromosome, complete genome","2067572","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. NC02"
"Blastococcus saxobsidens","341","Blastococcus saxobsidens DD2 complete genome","1146883","Bacteria","Actinobacteria","Actinobacteria","Geodermatophilales","Geodermatophilaceae","Blastococcus","Blastococcus saxobsidens"
"Methylobacterium sp. AMS5","340","Methylobacterium sp. AMS5, complete genome"," 925818","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","Methylobacterium sp. AMS5"
"Acinetobacter johnsonii","307","Acinetobacter johnsonii XBB1, complete genome","1242245","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter johnsonii"
"Pseudomonas aeruginosa","294","Pseudomonas aeruginosa PAO1, complete genome"," 208964","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa"
"Variovorax paradoxus","293","Variovorax paradoxus S110 chromosome 1, complete sequence"," 543728","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","Variovorax paradoxus"
"Pediococcus claussenii","242","Pediococcus claussenii ATCC BAA-344, complete genome"," 701521","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus","Pediococcus claussenii"
"Alcaligenes faecalis","237","Alcaligenes faecalis strain ZD02, complete genome","    511","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Alcaligenes","Alcaligenes faecalis"
"Candida dubliniensis","211","Candida dubliniensis CD36 chromosome R, complete sequence"," 573826","Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Candida","Candida dubliniensis"
"Ochrobactrum anthropi","209","Ochrobactrum anthropi ATCC 49188 chromosome 1, complete sequence"," 439375","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Ochrobactrum","Ochrobactrum anthropi"
"Pseudomonas trivialis","205","Pseudomonas trivialis strain IHBB745, complete genome"," 200450","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas trivialis"
"Variovorax sp. PMC12","194","Variovorax sp. PMC12 chromosome 1, complete sequence","2126319","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","Variovorax sp. PMC12"
"Achromobacter xylosoxidans","192","Achromobacter xylosoxidans A8, complete genome"," 762376","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter","Achromobacter xylosoxidans"
"Elizabethkingia anophelis","181","Elizabethkingia anophelis Ag1 chromosome, complete genome","1117646","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Elizabethkingia","Elizabethkingia anophelis"
"Methylobacterium zatmanii","180","Methylobacterium zatmanii strain PSBB041 chromosome, complete genome","  29429","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","Methylobacterium zatmanii"
"Acinetobacter junii","169","Acinetobacter junii strain 65, complete genome","  40215","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter junii"
"Acinetobacter bereziniae","154","Acinetobacter bereziniae strain XH901, complete genome"," 106648","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter bereziniae"
"Geodermatophilus obscurus","149","Geodermatophilus obscurus DSM 43160, complete genome"," 526225","Bacteria","Actinobacteria","Actinobacteria","Geodermatophilales","Geodermatophilaceae","Geodermatophilus","Geodermatophilus obscurus"
